,course id,name,dept,year,semester,section,instructor,hrs,responses,date
326,46980,MSCF TRG COMPETITION,IA,2016,Fall,M2,DAVID HANDRON,4.42,25,2016-09
327,46982,MRKT MICRO ALGTH TRD,IA,2016,Fall,I2,DUANE SEPPI,7.74,24,2016-09
328,46982,MRKT MICRO ALGTH TRD,IA,2016,Fall,M2,DUANE SEPPI,7.75,29,2016-09
329,70438,COMMERCLZN & INNOVTN,BA,2016,Spring,A,"SIRBU, M.  (co-taught)",6.71,7,2016-01
330,70438,COMMERCLZN & INNOVTN,BA,2016,Spring,A,"IMAM, R.  (co-taught)",7.57,7,2016-01
333,70414,ENTREPSHP FOR ENGRS,BA,2016,Fall,A,"MAWHINNEY, D.  (co-taught)",7.33,18,2016-09
334,70414,ENTREPSHP FOR ENGRS,BA,2016,Fall,A,"DALEY, R.  (co-taught)",7.2,18,2016-09
335,70420,ENTREPSHP SCIENTISTS,BA,2016,Fall,A,"MAWHINNEY, D.  (co-taught)",6.85,13,2016-09
336,70420,ENTREPSHP SCIENTISTS,BA,2016,Fall,A,"DALEY, R.  (co-taught)",6.36,13,2016-09
339,70207,PROB & STAT BUS APPL,BA,2015,Summer,S,SHERWIN DOROUDI,13.27,11,2015-06
341,70371,OPERATIONS MGMT,BA,2015,Summer,S,SERCAN YILDIZ,8.0,11,2015-06
342,70391,FINANCE,BA,2015,Summer,S,EMILIO BISETTI,12.43,14,2015-06
343,70101,INTRO BUSINESS MGMNT,BA,2015,Spring,A,DAVID RAMIREZ,5.75,25,2015-01
344,70122,INTRO TO ACCOUNTING,BA,2015,Spring,1,ANDREW BIRD,4.85,35,2015-01
345,70122,INTRO TO ACCOUNTING,BA,2015,Spring,2,ANDREW BIRD,4.4,35,2015-01
346,70160,GRAPHIC MEDIA MGMT,BA,2015,Spring,A,ANTHONY STANTON,6.29,31,2015-01
347,70201,PROFSSNL & SRVC PROJ,BA,2015,Spring,A,MILTON COFIELD,5.2,26,2015-01
348,70208,REGRESSION ANALYSIS,BA,2015,Spring,1,REBECCA LESSEM,7.67,33,2015-01
349,70208,REGRESSION ANALYSIS,BA,2015,Spring,2,REBECCA LESSEM,7.21,14,2015-01
351,70208,REGRESSION ANALYSIS,BA,2015,Spring,X,JOHN GASPER,12.92,28,2015-01
352,70311,ORGNZTN BEHAVIOR,BA,2015,Spring,A,MARK FICHMAN,6.4,15,2015-01
353,70311,ORGNZTN BEHAVIOR,BA,2015,Spring,B,MARK FICHMAN,6.17,23,2015-01
354,70311,ORGNZTN BEHAVIOR,BA,2015,Spring,C,MARK FICHMAN,4.53,19,2015-01
355,70321,NEGOTIATN CNFLCT RES,BA,2015,Spring,A,LILY MORSE,5.63,19,2015-01
356,70332,BUS SOCIETY & ETHICS,BA,2015,Spring,A,JOSEPH HORNACK,6.53,38,2015-01
357,70332,BUS SOCIETY & ETHICS,BA,2015,Spring,B,JOSEPH HORNACK,6.48,23,2015-01
359,70339,INFO TCHNGY FINANCE,BA,2015,Spring,A,PARAM SINGH,5.0,12,2015-01
360,70340,BUSINESS COMMUNCTNS,BA,2015,Spring,A,CHRISTOPHER WYATT,7.0,21,2015-01
361,70340,BUSINESS COMMUNCTNS,BA,2015,Spring,B,CHRISTOPHER WYATT,5.5,12,2015-01
362,70340,BUSINESS COMMUNCTNS,BA,2015,Spring,C,V.EMILY STARK,8.6,15,2015-01
363,70342,MANAGE ACRSS CLTURES,BA,2015,Spring,A,JOHN HOOKER,4.63,41,2015-01
364,70342,MANAGE ACRSS CLTURES,BA,2015,Spring,B,JOHN HOOKER,4.85,41,2015-01
365,70345,BUSINESS PRSNTATIONS,BA,2015,Spring,A,JULIA DEEMS,5.5,6,2015-01
366,70345,BUSINESS PRSNTATIONS,BA,2015,Spring,B,RONALD PLACONE,7.08,14,2015-01
367,70345,BUSINESS PRSNTATIONS,BA,2015,Spring,C,JOSEPH RUDMAN,6.2,10,2015-01
368,70345,BUSINESS PRSNTATIONS,BA,2015,Spring,D,JOSEPH RUDMAN,6.36,11,2015-01
370,70345,BUSINESS PRSNTATIONS,BA,2015,Spring,X,J MCGINNIS,16.17,12,2015-01
371,70350,BUSINESS ACTING,BA,2015,Spring,A,GEOFFREY HITCH,4.7,10,2015-01
372,70350,BUSINESS ACTING,BA,2015,Spring,B,GEOFFREY HITCH,5.67,9,2015-01
373,70364,BUSINESS LAW,BA,2015,Spring,A,JAMES ROBERTS,10.73,15,2015-01
